StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q67,Q68,Q73,Q74,Q21_1,Q21_2,Q21_3,Q21_4,Q21_DO,Q66_1,Q66_2,Q66_3,Q66_DO,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q57_7,Q57_DO,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_DO,Q59_1,Q59_2,Q59_3,Q59_4,Q59_DO,Q32_1,Q32_2,Q32_3,Q32_4,Q32_DO,Q30,Q32,Q34,Q36,Q36,workerId,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit,FL_28_DO,FL_19_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for participating in this survey. In this study, you will read several scenarios and answer a number of questions afterwards.



We would greatly appreciate it if you read the scenarios carefully and are thoughtful in your responses. Once you have satisfactorily answered all questions, you will receive a passcode to input into Amazon MTurk to ensure payment.





Before starting the survey, please enter your Mechanical Turk Worker ID below.","Think of a time (like a project or organization or event) when the situation around you felt like a “competitive jungle” with winners and losers — where the people around you were in “dog-eat-dog” competition, everyone doing whatever they could to get ahead, beat others, or win. This should be a situation where you were personally involved. Please try to think of something other than an ordinary sports event (e.g., like a basketball game). In the space below, please write a few sentences describing this situation.","How did YOU adapt and act in this situation? In the space below, please write a few sentences describing how you acted in this “competitive jungle.”","Think of a time (like a project or organization or event) when the situation around you felt harmonious — with people cooperating with one another, pulling together, trusting one another, and acting with compassion and honesty. This should be a situation where you were personally involved. In the space below, please write a few sentences describing this situation.","How did YOU adapt and act in this situation? In the space below, please write a few sentences describing how you acted in this cooperative environment.",The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - It’s a dog-eat-dog world where you have to be ruthless at times,"The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - The world we live in is basically a competitive ""jungle"" where only the toughest survive and succeed",The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - Most people are trustworthy if you have faith in them,The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - It is better to be loved than feared,The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - Display Order,"Based on the scenario you just saw, please rate your agreement with the items below. - Overall, I have a positive impression of [Field-sales]","Based on the scenario you just saw, please rate your agreement with the items below. - Please choose somewhat disagree","Based on the scenario you just saw, please rate your agreement with the items below. - My general impression of [Field-sales] is negative","Based on the scenario you just saw, please rate your agreement with the items below. - Display Order","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Competent, capable","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Intelligent, smart","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - A good leader","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - A good negotiator","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - A good problem-solver","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Socially skilled","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Cold, quarrelsome","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Display Order","To what extent do you see [Field-sales] as ... - Warm, sympathetic","To what extent do you see [Field-sales] as ... - Extraverted, enthusiastic","To what extent do you see [Field-sales] as ... - Dependable, self-disciplined","To what extent do you see [Field-sales] as ... - Open to new experiences, complex","To what extent do you see [Field-sales] as ... - Calm, emotionally stable",To what extent do you see [Field-sales] as ... - Display Order,Please rate your agreement with the items below. - [Field-sales]'s behavior is likely to produce the outcomes [Field-salessubjpron] is hoping for,Please rate your agreement with the items below. - The sales team's motivation will increase as a result of this episode,"Please rate your agreement with the items below. - [Field-sales]'s approach will probably backfire, leading to effects [Field-salessubjpron] did not intend or want",Please rate your agreement with the items below. - The sales team's performance will increase as a result of this episode,Please rate your agreement with the items below. - Display Order,"Thanks for your answers so far. Now we'd like to know some more about you. How do you see yourself?
 
To what extent do you see yourself as ... - Dominant","Thanks for your answers so far. Now we'd like to know some more about you. How do you see yourself?
 
To what extent do you see yourself as ... - Forceful","Thanks for your answers so far. Now we'd like to know some more about you. How do you see yourself?
 
To what extent do you see yourself as ... - Cold, quarrelsome","Thanks for your answers so far. Now we'd like to know some more about you. How do you see yourself?
 
To what extent do you see yourself as ... - Warm, sympathetic","Thanks for your answers so far. Now we'd like to know some more about you. How do you see yourself?
 
To what extent do you see yourself as ... - Display Order",What is your age?,What is your gender?,What best describes you?,What is your highest level of education?,Any comments about the survey? (optional),workerId,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit,FL_28 - Block Randomizer - Display Order,FL_19 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_44""}","{""ImportId"":""QID16_45""}","{""ImportId"":""QID16_46""}","{""ImportId"":""QID16_DO""}","{""ImportId"":""QID70_20""}","{""ImportId"":""QID70_15""}","{""ImportId"":""QID70_21""}","{""ImportId"":""QID70_DO""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID57_7""}","{""ImportId"":""QID57_10""}","{""ImportId"":""QID57_19""}","{""ImportId"":""QID57_20""}","{""ImportId"":""QID57_DO""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_13""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_4""}","{""ImportId"":""QID58_8""}","{""ImportId"":""QID58_DO""}","{""ImportId"":""QID59_16""}","{""ImportId"":""QID59_17""}","{""ImportId"":""QID59_18""}","{""ImportId"":""QID59_19""}","{""ImportId"":""QID59_DO""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID75_4""}","{""ImportId"":""QID75_5""}","{""ImportId"":""QID75_8""}","{""ImportId"":""QID75_DO""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""workerId""}","{""ImportId"":""sales""}","{""ImportId"":""salessubjpron""}","{""ImportId"":""salesobjpron""}","{""ImportId"":""salesposspron""}","{""ImportId"":""salessubjproncapit""}","{""ImportId"":""FL_28_DO""}","{""ImportId"":""FL_19_DO""}"
2022-01-26 00:29:40,2022-01-26 00:30:55,1,,100,74,1,2022-01-26 00:30:56,R_3MEfq3y3sKTxd14,,,,,40.8123016357421875,-73.96820068359375,preview,EN,,,,,,,,,,24|23|1|22,,,,,,,,,,,,5|1|4|2|6|3,,,,,,,,,,,,,,,,,,,,,,,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:44:01,2022-01-26 09:47:53,0,96.2.84.91,100,232,1,2022-01-26 09:47:54,R_2uK7axoCitGAw5t,,,,,45.463592529296875,-98.48290252685546875,anonymous,EN,A20K99JZE0L8HU,I was at my job. Everyone works at different paces. The managers do not work with people,I tried to stay calm,,,5,5,3,3,4|2|1|3,1,2,5,3|2|1,2,2,1,2,2,2,4,6|7|5|2|1|3|4,2,2,2,3,2,2|4|3|1|5,1,2,4,2,4|1|3|2,1,1,2,4,3|4|2|1,25,1,14,3,,A20K99JZE0L8HU,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:46:26,2022-01-26 09:49:11,0,45.35.97.22,100,165,1,2022-01-26 09:49:11,R_1dvn8qSDxrljv5e,,,,,32.8137054443359375,-96.87039947509765625,anonymous,EN,A1B2RROCKH8H19,,,Working on tasks and projects.,"Brainstorm a specific instance when you successfully adapted to change. ...
Organize your thoughts. ...
Share your anecdote",4,6,5,5,4|2|3|1,4,2,3,3|2|1,3,4,4,3,3,4,4,4|2|7|1|5|6|3,3,4,3,4,3,1|4|2|3|5,4,3,4,3,2|1|3|4,3,3,4,4,1|3|4|2,35,1,13,2,good,A1B2RROCKH8H19,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:45:05,2022-01-26 09:49:16,0,202.182.66.155,100,251,1,2022-01-26 09:49:17,R_2Sicl5uaYfSaBj6,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN," COPIEDA1CPT8WZBTJTP9",nothing like this,in our thoughts,,,7,6,6,7,1|3|4|2,5,2,5,3|2|1,5,5,4,4,5,4,5,1|3|2|4|7|6|5,5,4,4,5,5,1|3|5|2|4,4,4,5,5,4|2|3|1,5,4,5,4,1|2|3|4,50,2,13,4,nice one,A1CPT8WZBTJTP9,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:45:50,2022-01-26 09:49:46,0,66.118.4.84,100,235,1,2022-01-26 09:49:46,R_2S6lRWFOTSGJwqD,,,,,42.75140380859375,-71.5785980224609375,anonymous,EN,A2KY3OQSHFS529,cricket,"While this simple phrase has been used time and time again to discuss the many obstacles people and companies face, an animal metaphor does describe required innovation actions rather effectively.",,,7,6,6,7,3|2|4|1,5,4,5,1|2|3,4,4,4,5,4,4,5,7|6|1|3|5|4|2,4,4,5,5,4,2|4|1|3|5,4,5,5,5,1|2|3|4,4,5,4,5,2|1|4|3,30,1,13,5,good,A2KY3OQSHFS529,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:44:26,2022-01-26 09:49:56,0,73.77.64.151,100,330,1,2022-01-26 09:49:56,R_1K90h9nntt4zsbY,,,,,29.7212066650390625,-95.36260223388671875,anonymous,EN,A2N4Q60TCBWBL4,,,Is good feel,adjustment situation,7,6,6,7,4|3|1|2,5,2,5,1|2|3,5,4,5,4,5,4,5,1|4|5|6|3|2|7,4,5,5,5,4,4|5|2|1|3,4,5,4,5,4|1|2|3,4,4,5,5,3|1|4|2,29,1,13,4,good,A2N4Q60TCBWBL4,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:45:56,2022-01-26 09:50:08,0,208.203.222.230,100,251,1,2022-01-26 09:50:08,R_rcCwZWHQdEp2GBj,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,A1C8CI0VC8502G,football is very interesting play and my friend friend is football player and very hard playing in the playground,"i am very quite the game ",,,5,6,7,6,2|1|3|4,5,2,4,3|2|1,4,5,4,4,3,5,5,5|1|4|6|3|2|7,4,5,4,3,5,1|4|3|5|2,5,4,5,5,3|2|4|1,5,3,4,5,3|2|1|4,33,1,13,4,,A1C8CI0VC8502G,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:45:12,2022-01-26 09:50:22,0,66.118.5.8,100,309,1,2022-01-26 09:50:22,R_3nNobDMnbPSOD4w,,,,,42.75140380859375,-71.5785980224609375,anonymous,EN,A14OXDNF5MQ67C,,,Union is best strength,Very slow mindset,7,6,6,7,3|4|2|1,4,2,5,1|2|3,4,5,3,4,5,5,4,7|2|4|6|1|3|5,4,4,5,5,4,1|3|2|4|5,4,4,5,5,2|3|1|4,4,4,5,5,2|4|1|3,40,2,13,4,Good,A14OXDNF5MQ67C,Andrew,he,him,his,He,CWVmaniplow,FL_20
