"term","estimate ~ condition","p ~ condition","stars ~ condition","estimate ~ CWV","p ~ CWV","stars ~ CWV","estimate ~ condition+CWV (condition)","p ~ condition+CWV (condition)","stars ~ condition+CWV (condition)","estimate ~ condition+CWV (CWV)","p ~ condition+CWV (CWV)","stars ~ condition+CWV (CWV)"
"bell_behav",0.158,0.094,".",0.272,0,"***",0.037,0.67,"",0.268,0,"***"
"harshlanguage",0.194,0.114,"",0.308,0,"***",0.058,0.618,"",0.302,0,"***"
"showdisgust",0.276,0.029,"*",0.324,0,"***",0.136,0.254,"",0.31,0,"***"
"aggressivegestures",0.246,0.044,"*",0.219,0,"***",0.155,0.2,"",0.202,0.001,"**"
"actintimidate",0.085,0.487,"",0.274,0,"***",-0.041,0.728,"",0.279,0,"***"
"readyupset",0.07,0.597,"",0.326,0,"***",-0.081,0.519,"",0.335,0,"***"
"actcold",0.017,0.886,"",0.247,0,"***",-0.099,0.394,"",0.257,0,"***"
"threats",0.137,0.266,"",0.27,0,"***",0.016,0.893,"",0.268,0,"***"
"blame",0.236,0.053,".",0.209,0,"***",0.149,0.218,"",0.193,0.001,"**"
"warm_behav",-0.105,0.269,"",-0.244,0,"***",0.006,0.95,"",-0.245,0,"***"
"apologize",0.005,0.97,"",-0.144,0.037,"*",0.074,0.613,"",-0.152,0.033,"*"
"actnice",-0.229,0.049,"*",-0.262,0,"***",-0.117,0.297,"",-0.249,0,"***"
"polite",-0.085,0.436,"",-0.28,0,"***",0.044,0.669,"",-0.285,0,"***"
"showconcern",-0.111,0.334,"",-0.29,0,"***",0.021,0.843,"",-0.292,0,"***"
