StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q67,Q73,Q30,Q31,Q68,Q33,Q34,Q21_1,Q21_2,Q21_3,Q21_4,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,self_1,self_2,self_3,self_4,age,gender,race,Q36,Q36,workerId,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for participating in this survey. In this study, you will read several questions and answer a number of questions afterwards.



We would greatly appreciate it if you read the questions carefully and are thoughtful in your responses. Once you have satisfactorily answered all questions, you will receive a passcode to input into Amazon MTurk to ensure payment.





Before starting the survey, please enter your Mechanical Turk Worker ID below.","Think of the most competitive situation you've been in during the past 12 months. It could be a project, organization, job, or event that felt competitive — where people around you were trying to get ahead and beat each other, rather than working together.
This situation may have brought out the worst in people, causing fairness and generosity to take a backseat to selfishness, winning, and even manipulation or sabotage. This should be a situation where you were personally involved.
In the space below, please write a few sentences describing this situation.","Think of the most cooperative situation you've been in during the past 12 months. It could be a project, organization, job, or event that felt cooperative — with people working together, trusting one another, and acting with generosity and honesty.
This situation may have brought out the best in people, with everyone working toward a common goal; instead of being selfish, people helped each other. This should be a situation where you were personally involved.
In the space below, please write a few sentences describing this situation.",Was the question above clear and easy to understand?,How easy was it to think of a situation?,"In the situation that you thought about above, what did people do that was [Field-condition]? Please write a sentence or two describing people's [Field-condition] behavior.",How were people mostly acting in this situation?,What did you write about for the previous questions?,The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - It’s a dog-eat-dog world where you have to be ruthless at times,"The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - The world we live in is basically a competitive ""jungle"" where only the toughest survive and succeed",The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - Most people are trustworthy if you have faith in them,The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - It is better to be loved than feared,"Now we’d like to understand your intuitions about the impact of some specific behaviors.To be effe - Use harsh, blunt language toward others",Now we’d like to understand your intuitions about the impact of some specific behaviors.To be effe - Show disgust with people who are not doing what he/she wants,Now we’d like to understand your intuitions about the impact of some specific behaviors.To be effe - Make aggressive physical gestures (like finger pointing or arm movements) in disagreements with others,Now we’d like to understand your intuitions about the impact of some specific behaviors.To be effe - Act in a way that intimidates others,Now we’d like to understand your intuitions about the impact of some specific behaviors.To be effe - Apologize or accept blame and responsibility,"Now we’d like to understand your intuitions about the impact of some specific behaviors.To be effe - Act in a nice, caring way",Now we’d like to understand your intuitions about the impact of some specific behaviors.To be effe - Please select “nearly always”,"Almost there! To be effective in interacting and working with other people, how often should someone act in the following ways? - Be ready to upset other people or bruise their feelings because they aren't doing what he/she wants","Almost there! To be effective in interacting and working with other people, how often should someone act in the following ways? - Act in a cold, unfriendly way toward others","Almost there! To be effective in interacting and working with other people, how often should someone act in the following ways? - Make threats or ultimatums to people who don't comply or perform up to par","Almost there! To be effective in interacting and working with other people, how often should someone act in the following ways? - Cast blame on people who get things wrong","Almost there! To be effective in interacting and working with other people, how often should someone act in the following ways? - Show politeness and kindness toward others","Almost there! To be effective in interacting and working with other people, how often should someone act in the following ways? - Show concern and sympathy for others","Thanks for your answers so far. Lastly, we'd like to know a bit about you. How do you see yourself?
 
To what extent do you see yourself as ... - Dominant","Thanks for your answers so far. Lastly, we'd like to know a bit about you. How do you see yourself?
 
To what extent do you see yourself as ... - Forceful","Thanks for your answers so far. Lastly, we'd like to know a bit about you. How do you see yourself?
 
To what extent do you see yourself as ... - Cold, quarrelsome","Thanks for your answers so far. Lastly, we'd like to know a bit about you. How do you see yourself?
 
To what extent do you see yourself as ... - Warm, sympathetic",What is your age?,What is your gender?,What best describes you?,What is your highest level of education?,Any comments about the survey? (optional),workerId,condition
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_44""}","{""ImportId"":""QID16_45""}","{""ImportId"":""QID16_46""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID78_4""}","{""ImportId"":""QID78_5""}","{""ImportId"":""QID78_6""}","{""ImportId"":""QID78_7""}","{""ImportId"":""QID78_8""}","{""ImportId"":""QID78_9""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_15""}","{""ImportId"":""QID79_16""}","{""ImportId"":""QID79_17""}","{""ImportId"":""QID79_18""}","{""ImportId"":""QID79_19""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID75_4""}","{""ImportId"":""QID75_5""}","{""ImportId"":""QID75_8""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""workerId""}","{""ImportId"":""condition""}"
2022-02-11 23:40:43,2022-02-11 23:41:32,1,,100,49,1,2022-02-11 23:41:33,R_2zZVz8SBBWDQGHj,,,,,40.8123016357421875,-73.96820068359375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cooperative
2022-02-13 12:26:11,2022-02-13 12:26:44,0,98.183.242.170,12,33,0,2022-02-13 12:27:07,R_cZsmJoEEx8FSnJf,,,,,,,anonymous,EN,A2ZAL0HAIBS9QH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2ZAL0HAIBS9QH,cooperative
2022-02-13 12:26:21,2022-02-13 12:26:45,0,107.77.209.47,12,23,0,2022-02-13 12:27:08,R_u2F67Ji7eWUFOUx,,,,,,,anonymous,EN,A32868DVT5NSX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A32868DVT5NSX6,cooperative
2022-02-13 12:26:30,2022-02-13 12:26:40,0,98.207.233.216,12,9,0,2022-02-13 12:27:09,R_1KeGEY0KlwaoMpj,,,,,,,anonymous,EN,A3DV82BTWL6MQK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3DV82BTWL6MQK,cooperative
2022-02-13 12:26:07,2022-02-13 12:26:30,0,68.102.157.5,12,22,0,2022-02-13 12:27:10,R_11gyen3kp1yBci2,,,,,,,anonymous,EN,A1AZGP16G9TURZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1AZGP16G9TURZ,competitive
2022-02-13 12:26:21,2022-02-13 12:26:52,0,107.129.43.221,12,31,0,2022-02-13 12:27:10,R_1et4TUM0PJyJrvi,,,,,,,anonymous,EN,A2IC4IMH7G9UKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2IC4IMH7G9UKU,competitive
2022-02-13 12:26:39,2022-02-13 12:26:57,0,73.220.69.19,6,17,0,2022-02-13 12:27:11,R_b2yZQjvO8NJTq8x,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1IPGN174J694F,
2022-02-13 12:26:41,2022-02-13 12:27:07,0,104.136.34.29,12,26,0,2022-02-13 12:27:11,R_QnMt97dtVljyc01,,,,,,,anonymous,EN,A2UNF0ZW0Y7GK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2UNF0ZW0Y7GK3,cooperative
