"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","entered_mTurkID","CWVopen","questioneasy","thinkeasy","behaveopen","howact","whatwrite","CWV_1","CWV_6","CWV_10","CWV_5","harshlanguage","showdisgust","aggressivegestures","actintimidate","apologize","actnice","attencheck_1","readyupset","actcold","threats","blame","polite","showconcern","self_dominant","self_forceful","self_cold","self_warm","age","gender","race","education","comments","workerId","condition","CWV","bell_behav","warm_behav","self_bell","cat_selfbell","comprehension"
"2022-02-13 12:30:59","2022-02-13 12:36:53",0,"23.114.193.133",100,354,1,"2022-02-13 12:36:53","R_3n8jr6psvkNXyll","","","","",30.3773040771484,-97.7099990844727,"anonymous","EN","A2S9SAGO12WZ6P","At the end of medical school, we apply to a bunch of hospitals based on our field of interest. Only one program will accept us so we are competing with all of the medical students around the country for our dream program. ",5,5,"People would lie on their applications and during the interviews to get on top. The interviewers would not double check the information so the people who were exaggerating would outdo the honest applicants. ",5,1,2,5,5,7,1,1,1,1,5,4,5,1,1,1,2,5,5,1,1,1,4,27,2,1,6,"","A2S9SAGO12WZ6P",1,2.75,1.125,4.75,1.25,"med",1
"2022-02-13 12:31:00","2022-02-13 12:38:46",0,"98.224.187.221",100,465,1,"2022-02-13 12:38:47","R_cOAXkZrBs3vR489","","","","",42.6734008789062,-82.7735977172852,"anonymous","EN","A3SXQNCJD6U86L","Recently our company was restructured and my position was eliminated. I am now in the process of interviewing for other jobs. My coworkers know that I am looking for other jobs and are trying to get ahead of me in the process. They are not willing to share information with me or help me in any way.",5,5,"My coworkers are not willing to share information with me or help me in any way. They are actively trying to get ahead of me in the job search process.",5,1,5,7,5,7,1,1,1,1,5,5,5,2,1,1,2,5,5,1,2,1,5,33,1,1,3,"","A3SXQNCJD6U86L",1,4,1.25,5,1.25,"med",1
"2022-02-13 12:31:09","2022-02-13 12:39:04",0,"45.42.190.73",100,475,1,"2022-02-13 12:39:04","R_29bGhHXLQgBC4gD","","","","",38.8865051269531,-77.0911026000977,"anonymous","EN","A15RXO16LU4GFF","In my job, a ne project has been finished within the TAT time. And this has been achieved by my team members. We organized the task and achieve a goal.",4,4,"People in the team performed their task within the time. Time perfection is very important and also every team member involved in their duties and performed well in a cooperative manner.",1,4,4,3,7,6,1,2,2,3,3,5,5,2,1,2,2,5,4,4,2,1,5,42,2,1,4,"","A15RXO16LU4GFF",0,2.5,1.875,4.25,2,"med",1
"2022-02-13 12:39:50","2022-02-13 12:52:01",0,"71.57.175.204",100,731,1,"2022-02-13 12:52:02","R_3p3HZR2vLCraNyO","","","","",26.2310028076172,-80.1220016479492,"anonymous","EN","AG7VQMFMBNPUM","I interviewed for a job.  It had four rounds.  It was exhausting.",3,3,"People were competing for a job.  They were trying to perform better than their competition.  ",5,1,6,6,2,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,38,1,2,5,"","AG7VQMFMBNPUM",1,5.5,3,3,3,"high",1
"2022-02-13 12:41:18","2022-02-13 12:55:24",0,"174.71.182.244",100,846,1,"2022-02-13 12:55:25","R_6hSwoE4QtMdHtu1","","","","",29.2635040283203,-81.9532012939453,"anonymous","EN","A1710X6OIQP62Q","My husband and I, along with one of our friends, rearranged rooms and furniture in our house.  We all worked together and helped each other to get it done as easily and as quickly as possible.",5,5,"We had to help each other lift things and move things out of each others way.",1,4,5,3,5,6,1,1,2,2,4,5,5,2,2,1,2,5,5,2,2,1,5,38,2,1,4,"","A1710X6OIQP62Q",0,3.25,1.625,4.75,1.5,"med",1
"2022-02-13 12:53:50","2022-02-13 13:04:24",0,"73.185.196.233",100,633,1,"2022-02-13 13:04:24","R_pJAeMQavj6lOig9","","","","",39.0944061279297,-94.4098968505859,"anonymous","EN","A3OTBMKOEQ410P","I was selected to work at this job all year long instead of seasonal like most employees. But at the end of their season, some get a chance to stay and replace the year-long employees if their stats are better. ",5,5,"We made sure we were completing our stats and who worked the most available hours. ",5,1,5,5,2,7,2,2,1,1,5,5,5,1,1,1,1,5,5,5,1,1,4,29,1,2,2,"","A3OTBMKOEQ410P",1,4.25,1.25,5,2.25,"med",1
"2022-02-13 13:13:36","2022-02-13 13:15:32",0,"172.126.134.41",100,116,1,"2022-02-13 13:15:33","R_rjNiZcLxkVXYRyN","","","","",33.5133972167969,-101.881797790527,"anonymous","EN","A2PIFMM4Q2I9ZS","At my job, we had a baby pass away and had to plan a funeral. Everyone worked together to provide in some way.",5,5,"Everyone stepped in and helped in whatever way they could.",1,4,3,2,7,7,1,1,1,1,4,4,5,2,1,1,1,5,4,1,1,1,5,23,2,1,4,"","A2PIFMM4Q2I9ZS",0,1.75,1.125,4.25,1,"low",1
"2022-02-13 13:11:04","2022-02-13 13:15:56",0,"68.54.214.71",100,292,1,"2022-02-13 13:15:57","R_12fEOYjHb1KLf7M","","","","",39.2050933837891,-85.9324035644531,"anonymous","EN","A2BUHMLNE3LUU0","I was the assistant leader of a software implementation project. The leader was ineffective. My process was very effective. He was a blockade in the progress and was not allocating resources to me. Very hard to work with him.",5,5,"He pulled my resources allowing me without any resources.",5,1,3,4,5,6,1,1,1,1,4,5,5,1,1,1,1,5,4,1,1,1,4,43,2,5,4,"","A2BUHMLNE3LUU0",1,3,1,4.5,1.25,"med",1
"2022-02-13 13:20:38","2022-02-13 13:25:01",0,"73.44.97.216",100,262,1,"2022-02-13 13:25:01","R_us2v7FdF35hCwmt","","","","",42.0048065185547,-87.9953994750977,"anonymous","EN","A2VZBQLSFZC519","I felt like I had to win a ""Who's most interesting?"" contest back in the summer. Being unique is very important to me, and when someone more unique than me comes into my life or the lives of my friends, I feel insecure and then feel like I need to fight or compete to been seen and heard.",5,5,"The other person likely also felt some sort of competition, but for an entirely different reason. Hers was to build raport.",5,1,7,7,1,7,2,3,2,3,2,5,5,2,2,2,2,4,2,4,4,2,4,23,2,1,3,"","A2VZBQLSFZC519",1,5.5,2.25,3.25,3,"high",1
"2022-02-13 13:28:31","2022-02-13 13:31:13",0,"70.119.14.161",100,162,1,"2022-02-13 13:31:13","R_6uiCMgf0QtTvHkl","","","","",32.7691040039062,-96.6053009033203,"anonymous","EN","A1X6WAK55MYGFH","competitive — where people around you were trying to get ahead and beat each other, rather than working together.",5,4,"This situation may have brought out the worst in people, causing fairness and generosity to take a backseat to selfishness, winning, and even manipulation or sabotage. This should be a situation where you were personally involved.
",5,1,7,7,6,6,3,2,3,2,3,2,5,3,2,2,3,4,3,4,5,4,5,34,1,2,4,"good","A1X6WAK55MYGFH",1,4.5,2.5,3,3.5,"high",1
