StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q67,Q73,Q30,Q31,Q68,Q33,Q34,Q21_1,Q21_2,Q21_3,Q21_4,Q66_1,Q66_2,Q66_3,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q57_7,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q32_1,Q32_2,Q32_3,Q32_4,Q30,Q32,Q34,Q36,Q36,workerId,condition,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for participating in this survey. In this study, you will read several scenarios and answer a number of questions afterwards.



We would greatly appreciate it if you read the scenarios carefully and are thoughtful in your responses. Once you have satisfactorily answered all questions, you will receive a passcode to input into Amazon MTurk to ensure payment.





Before starting the survey, please enter your Mechanical Turk Worker ID below.","Think of the most competitive situation you've been in during the past 12 months. It could be a project, organization, job, or event that felt competitive — where people around you were trying to get ahead and beat each other, rather than working together.
This situation may have brought out the worst in people, causing fairness and generosity to take a backseat to selfishness, winning, and even manipulation or sabotage. This should be a situation where you were personally involved.
In the space below, please write a few sentences describing this situation.","Think of the most cooperative situation you've been in during the past 12 months. It could be a project, organization, job, or event that felt cooperative — with people working together, trusting one another, and acting with generosity and honesty.
This situation may have brought out the best in people, with everyone working toward a common goal; instead of being selfish, people helped each other. This should be a situation where you were personally involved.
In the space below, please write a few sentences describing this situation.",Was the question above clear and easy to understand?,How easy was it to think of a situation?,"In the situation that you thought about above, what did people do that was [Field-condition]? Please write a sentence or two describing people's [Field-condition] behavior.",How were people mostly acting in this situation?,What did you write about for the previous questions?,The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - It’s a dog-eat-dog world where you have to be ruthless at times,"The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - The world we live in is basically a competitive ""jungle"" where only the toughest survive and succeed",The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - Most people are trustworthy if you have faith in them,The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - It is better to be loved than feared,"Based on the scenario you just saw, please rate your agreement with the items below. - Overall, I have a positive impression of [Field-sales]","Based on the scenario you just saw, please rate your agreement with the items below. - Please choose somewhat disagree","Based on the scenario you just saw, please rate your agreement with the items below. - My general impression of [Field-sales] is negative","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Competent, capable","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Intelligent, smart","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - A good leader","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - A good negotiator","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - A good problem-solver","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Socially skilled","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Cold, quarrelsome","To what extent do you see [Field-sales] as ... - Warm, sympathetic","To what extent do you see [Field-sales] as ... - Extraverted, enthusiastic","To what extent do you see [Field-sales] as ... - Dependable, self-disciplined","To what extent do you see [Field-sales] as ... - Open to new experiences, complex","To what extent do you see [Field-sales] as ... - Calm, emotionally stable",Almost there! Please rate your agreement with the items below. - [Field-sales]'s behavior is likely to produce the outcomes [Field-salessubjpron] is hoping for,Almost there! Please rate your agreement with the items below. - The sales team's motivation will increase as a result of this episode,"Almost there! Please rate your agreement with the items below. - [Field-sales]'s approach will probably backfire, leading to effects [Field-salessubjpron] did not intend or want",Almost there! Please rate your agreement with the items below. - The sales team's performance will increase as a result of this episode,Almost there! Please rate your agreement with the items below. - Please select somewhat disagree,"Thanks for your answers so far. Lastly, we'd like to know some more about you. How do you see yourself?
 
To what extent do you see yourself as ... - Dominant","Thanks for your answers so far. Lastly, we'd like to know some more about you. How do you see yourself?
 
To what extent do you see yourself as ... - Forceful","Thanks for your answers so far. Lastly, we'd like to know some more about you. How do you see yourself?
 
To what extent do you see yourself as ... - Cold, quarrelsome","Thanks for your answers so far. Lastly, we'd like to know some more about you. How do you see yourself?
 
To what extent do you see yourself as ... - Warm, sympathetic",What is your age?,What is your gender?,What best describes you?,What is your highest level of education?,Any comments about the survey? (optional),workerId,condition,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_44""}","{""ImportId"":""QID16_45""}","{""ImportId"":""QID16_46""}","{""ImportId"":""QID70_20""}","{""ImportId"":""QID70_15""}","{""ImportId"":""QID70_21""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID57_7""}","{""ImportId"":""QID57_10""}","{""ImportId"":""QID57_19""}","{""ImportId"":""QID57_20""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_13""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_4""}","{""ImportId"":""QID58_8""}","{""ImportId"":""QID59_16""}","{""ImportId"":""QID59_17""}","{""ImportId"":""QID59_18""}","{""ImportId"":""QID59_19""}","{""ImportId"":""QID59_20""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID75_4""}","{""ImportId"":""QID75_5""}","{""ImportId"":""QID75_8""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""workerId""}","{""ImportId"":""condition""}","{""ImportId"":""sales""}","{""ImportId"":""salessubjpron""}","{""ImportId"":""salesobjpron""}","{""ImportId"":""salesposspron""}","{""ImportId"":""salessubjproncapit""}"
2022-03-07 18:20:35,2022-03-07 18:21:29,1,,100,54,1,2022-03-07 18:21:30,R_ZdW0TkaJg5JsGNr,,,,,40.8123016357421875,-73.96820068359375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cooperative,Andrew,he,him,his,He
2022-03-08 07:30:42,2022-03-08 07:35:35,0,159.235.146.92,100,293,1,2022-03-08 07:35:35,R_2B50og3yb6gQrxq,,,,,32.6414031982421875,-85.3755035400390625,anonymous,EN,A2FCQ5K0T1PYHS,I was applying for a special position at my job and many people were also applying. There was only one open position and I was in a lot of competition for it. People were mostly willing to do anything to get the spot and did not care what they had to do. I was trying to play fair when others did not.,,5,4,They were willing to say bad things about others and even make up false statements that made their coworkers and other applicants seem to be worse than they actually were.,5,1,5,5,3,4,1,2,5,2,3,1,1,1,1,5,1,3,2,3,1,1,1,5,1,2,4,3,2,3,25,1,1,4,,A2FCQ5K0T1PYHS,competitive,Jennifer,she,her,her,She
2022-03-08 07:30:45,2022-03-08 07:36:09,0,73.182.118.62,100,324,1,2022-03-08 07:36:10,R_2lBilkRB2KrjEel,,,,,31.8961944580078125,-81.29399871826171875,anonymous,EN,A1BE5NGDU9B9JG,,"I recently helped my parents and grandmother move cross-country.  It took a lot of work, a lot of cooperation, and a lot of patience to survive the ordeal.  It took 2 weeks, but they are finally safe and comfortable in their new home, and our relationships are strong as a result of the experience.",5,5,"We had to plan out every little detail of the trip because we had to drive, and have pets.  Where to stop every night, where to eat, how to save as much money as possible, making sure the pets weren't too stressed out, etc.  We all had to work together.",1,2,5,3,5,7,2,2,5,3,2,2,2,2,2,4,1,2,2,2,2,2,3,4,2,2,4,4,1,3,38,1,1,4,,A1BE5NGDU9B9JG,cooperative,Andrew,he,him,his,He
2022-03-08 07:31:45,2022-03-08 07:36:10,0,202.182.66.30,100,265,1,2022-03-08 07:36:11,R_5aHrYPwAoNIcfgl,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,A2B9K1P7CNIMO8,"competitive ",,4,5,"Barriers to competition are also driving down wages for workers. When there are only a few employers in town, workers have less opportunity to bargain for a higher wage and to demand dignity and respect in the workplace.",4,1,5,6,5,5,4,2,5,4,4,5,3,4,4,4,4,3,4,4,4,4,4,4,5,2,4,4,3,5,35,1,2,4,nice,A2B9K1P7CNIMO8,competitive,Jennifer,she,her,her,She
2022-03-08 07:31:11,2022-03-08 07:36:26,0,68.173.130.202,100,315,1,2022-03-08 07:36:26,R_1pJPnUeFLtj2cmc,,,,,41.4535064697265625,-74.4774017333984375,anonymous,EN,A3CZNWMYPM3P6E,Recently my job told me and some other employees that one of us would be promoted based on how we performed in that given month. I tried my best and competed very hard but ultimately I didnt get promoted.,,4,4,We were trying to get the most sales. It was basically a sales competition.,5,1,4,4,5,4,1,2,5,1,1,1,1,1,1,5,1,1,1,3,1,1,1,5,1,2,3,2,2,4,26,1,1,2,,A3CZNWMYPM3P6E,competitive,Andrew,he,him,his,He
2022-03-08 07:33:43,2022-03-08 07:36:33,0,24.12.245.77,100,169,1,2022-03-08 07:36:33,R_d6zdeocGiNUodxv,,,,,41.369293212890625,-88.41790008544921875,anonymous,EN,A10NGMJ0LUASEV,,very well   veluable points,4,4,"supoorT women Think of the most cooperative situation you've been in during the past 12 months. It could be a project, organization, job, or event that felt cooperative — with people working together, trusting one another, and acting with generosity and honesty.
",4,1,6,7,6,7,4,2,5,4,5,4,5,4,4,5,4,4,5,5,4,4,5,4,4,2,5,5,5,5,49,1,1,5,well,A10NGMJ0LUASEV,cooperative,Andrew,he,him,his,He
2022-03-08 07:31:25,2022-03-08 07:36:36,0,74.76.34.236,100,311,1,2022-03-08 07:36:37,R_1hVTAeEC29yaCcs,,,,,42.8800048828125,-73.991302490234375,anonymous,EN,AKLG79EPGKTDP,"My company held a competitive event in which there were rewards for the top ranking employees. Earning points and ranking high were based on personal productivity at the cost of others', and so it fostered an environment in which my co-workers actively worked to sabotage each other instead of work harder for their own personal gain. It created a lot of animosity, and was not friendly competition whatsoever.",,5,4,"My co-workers worked to sabotage each others' progress by actively distracting each other, or lying about meetings, overtime, projects being due, and so on.",5,1,7,7,3,4,1,2,5,4,3,3,1,2,1,5,1,2,4,3,2,2,1,5,2,2,2,1,1,4,26,2,1,4,I have no additional comments to add at this time.,AKLG79EPGKTDP,competitive,Jennifer,she,her,her,She
2022-03-08 07:32:02,2022-03-08 07:37:25,0,98.250.180.127,100,322,1,2022-03-08 07:37:25,R_33fLbl9cJjO5zmZ,,,,,42.587005615234375,-83.2333984375,anonymous,EN,A2O4622TN4UWRG,,"I was recently working on a big project. The project was to overhaul a high-traffic spot on our website. This project took the input of several teams, cooperation between departments. At the end the project was successful and everyone involved played a crucial part in getting to our end goal",5,5,"People over-communicated, kept open channels of dialog, adhered to deadlines and asked for help when needed. It was a great example of many people working together for a common goal.",1,2,5,5,4,6,1,2,5,3,2,2,1,2,1,4,2,2,2,2,2,2,2,4,3,2,4,4,3,4,33,1,1,4,no,A2O4622TN4UWRG,cooperative,Andrew,he,him,his,He
